tax_id,species_name
3055, Chlamydomonas reinhardtii
30521, Bos mutus grunniens (Yak)
30538, Vicugna pacos (Alpaca)
3240, Psilotum nudum (Whisk fern)
3435, Persea americana (Avocado)
3654, Citrullus lanatus (Watermelon)
3702, Arabidopsis thaliana
3747, Fragaria ananassa (Strawberry)
3750, Malus domestica (Apple)
3760, Prunus persica (Peach)
4081, Solanum lycopersicum (Tomato)
4097, Nicotiana tabacum (Tobacco)
4146, Olea europaea (Olive)
4232, Helianthus annuus (Sunflower)
42345, Phoenix dactylifera (Date Palm)
43179, Ictidomys tridecemlineatus (Squirrel)
4403, Platanus occidentalis (Sycamore)
4442, Camellia sinensis (Tea plant)
4513, Hordeum vulgare (Barley)
4547, Saccharum officinarum (Sugarcane)
4558, Sorghum bicolor
4565, Cannabis sativa (Hemp)
4565, Triticum aestivum (Wheat)
4577, Zea mays (Maize)
4641, Musa acuminata (Banana)
559292, Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Budding Yeast)
5762, Naegleria gruberi (Amoeba)
5888, Paramecium tetraurelia
59463, Myotis lucifugus (Bat)
59729, Taeniopygia guttata (Zebra Finch)
6183, Schistosoma mansoni (Blood Fluke)
6238, Caenorhabditis briggsae (Nematode)
6239, Caenorhabditis elegans (C. elegans)
64320, Zika virus
645098, Measles virus (strain Ichinose-B95a)
656061, Tuber melanosporum (strain Mel28) (Black Truffle)
6661, Artemia franciscana (Brine Shrimp)
6945, Ixodes scapularis (Deer Tick)
7091, Bombyx mori (Silk Moth)
7108, Spodoptera frugiperda (Fall Armyworm)
7165, Anopheles gambiae (Mosquito African malaria)
7227, Drosophila melanogaster (Fruit Fly)
7425, Nasonia vitripennis (Wasp parasitoid)
747676, Melampsora larici-populina (strain 98AG31) (Poplar Leaf Rust Fungus)
7668, Strongylocentrotus purpuratus (Urchin)
7868, Callorhinchus milii (Shark)
7955, Danio rerio (Zebrafish)
8090, Oryzias latipes (Rice Fish Japanese)
8128, Oreochromis niloticus (Tilapia Trout Brown)
8355, Xenopus laevis (Frog)
8502, Crocodylus porosus (Crocodile)
8673, Pseudonaja textilis (Snake Brown Eastern)
88036, Selaginella moellendorffii (Spike Moss)
9031, Gallus gallus (Chicken)
9103, Meleagris gallopavo (Turkey)
9258, Ornithorhynchus anatinus (Platypus)
9541, Macaca fascicularis (Monkey cynomolgus)
9544, Macaca mulatta (Macaque Rhesus monkey)
9595, Gorilla gorilla gorilla
9598, Pan troglodytes (Chimpanzee)
9601, Pongo abelii (Orangutan)
9606, Homo sapiens (Human)
9606, Homo sapians - XMAn v2 Missense
9606, Homo sapians - XMAn v2 Nonsense
9669, Mustela putorius furo (Ferret)
9685, Felis catus (Cat)
9796, Equus caballus (Horse)
9796, Equus asinus (Donkey)
9837, Camelus bactrianus (Camel)
9913, Bos taurus (Cow)
9915, Bos indicus (Zebu)
9925, Capra hircus (Goat)
9940, Ovis aries (Sheep)
9986, Oryctolagus cuniculus (Rabbit)
10036, Mesocricetus auratus (Hamster)
10090, Mus musculus (Mouse)
10141, Cavia porcellus (Guinea Pig)
10116, Rattus norvegicus (Rat)
10181, Heterocephalus glaber (Naked Mole Rat)
104421, Camponotus floridanus (Ant)
10942, Rotavirus B (RVB)
1126212, Macrophomina phaseolina (strain MS6) (Charcoal Rot)
11622, Lassa virus (LASV)
11624, Lymphocytic choriomeningitis virus (LCMV)
128952, Zaire ebolavirus (Ebola)
13443, Coffea arabica (Coffee)
13616, Monodelphis domestica (Opossum)
181762, Psilocybe cubensis (Psilocybe mushroom)
1951, Campylobacter jejuni (C. jejuni)
214684, Cryptococcus neoformans var. neoformans serotype D (strain JEC21) (Cryptococcus)
227321, Emericella nidulans (strain FGSC A4) (Aspergillus nidulans)
23207, Prunus serotina (Black Cherry)
237561, Candida albicans (strain SC5314) (Yeast human pathogen)
242507, Pyricularia oryzae (strain 70-15) (Rice Blast Fungus)
2711, Citrus sinensis (Orange)
28377, Anolis carolinensis (Chameleon)
284590, Kluyveromyces lactis (strain ATCC 8585) (lactate processing yeast)
284592, Debaryomyces hansenii (strain ATCC 36239) (yeast)
284812, Schizosaccharomyces pombe (strain 972) (Fission Yeast)
2880, Ectocarpus siliculosus (Brown Alga)
29159, Magallana gigas (Oyster)
3055, Chlamydomonas reinhardtii (Green Alga)
30608, Microcebus murinus (Lemur)
30611, Otolemur garnettii (Bushbaby)
31033, Takifugu rubripes (Pufferfish)
31567, Rotavirus C (RVC)
3435, Persea americana (Avocado)
34839, Chinchilla lanigera
35128, Thalassiosira pseudonana (Diatom)
3747, Fragaria ananassa (Strawberry)
3750, Malus domestica (Apple)
3760, Prunus persica (Peach)
39947, Oryza sativa subsp. japonica (Rice)
400682, Amphimedon queenslandica (Sponge)
4097, Nicotiana tabacum (Tobacco)
4113, Solanum tuberosum (Potato)
42345, Phoenix dactylifera (Date Palm)
4403, Platanus occidentalis (Sycamore)
450149, Rotavirus A (RVA)
4547, Saccharum officinarum (Sugarcane)
4558, Sorghum bicolor
4565, Cannabis sativa (Hemp)
4565, Triticum aestivum (Wheat)
4641, Musa acuminata (Banana)
500485, Penicillium rubens (strain ATCC 28089) (Penicillium)
518987, Influenza B virus (strain B/Lee/1940)
5270, Mycosarcoma maydis (Corn Smut)
559292, Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Budding Yeast)
5762, Naegleria gruberi (Amoeba)
5888, Paramecium tetraurelia
59463, Myotis lucifugus (Bat)
59729, Taeniopygia guttata (Zebra Finch)
6183, Schistosoma mansoni (Blood Fluke)
6238, Caenorhabditis briggsae (Nematode)
6239, Caenorhabditis elegans (C. elegans)
64320, Zika virus
645098, Measles virus (strain Ichinose-B95a)
656061, Tuber melanosporum (strain Mel28) (Black Truffle)
6661, Artemia franciscana (Brine Shrimp)
6945, Ixodes scapularis (Deer Tick)
7091, Bombyx mori (Silk Moth)
7108, Spodoptera frugiperda (Fall Armyworm)
7165, Anopheles gambiae (Mosquito African malaria)
7227, Drosophila melanogaster (Fruit Fly)
7425, Nasonia vitripennis (Wasp parasitoid)
747676, Melampsora larici-populina (Poplar Leaf Rust Fungus)
7668, Strongylocentrotus purpuratus (Urchin)
7868, Callorhinchus milii (Shark)
7955, Danio rerio (Zebrafish)
8090, Oryzias latipes (Rice Fish Japanese)
8128, Oreochromis niloticus (Tilapia Trout Brown)
8355, Xenopus laevis (Frog)
8502, Crocodylus porosus (Crocodile)
8673, Pseudonaja textilis (Snake Brown Eastern)
88036, Selaginella moellendorffii (Spike Moss)
9031, Gallus gallus (Chicken)
9103, Meleagris gallopavo (Turkey)
9258, Ornithorhynchus anatinus (Platypus)
9541, Macaca fascicularis (Monkey cynomolgus)
9544, Macaca mulatta (Macaque Rhesus monkey)
9595, Gorilla gorilla gorilla
9598, Pan troglodytes (Chimpanzee)
9601, Pongo abelii (Orangutan)
9606, Homo sapiens (Human)
9669, Mustela putorius furo (Ferret)
9685, Felis catus (Cat)
9796, Equus caballus (Horse)
9796, Equus asinus (Donkey)
9837, Camelus bactrianus (Camel)
